title,rating,description,release_date,genre,casts,duration,country,production,m_link
The Sacred Spirit,6.6,"José Manuel and the other members of the ufology association Ovni-Levante meet weekly to exchange information about extraterrestrial messages and abductions. Julio, their leader, dies unexpectedly, leaving José Manuel as the only person who knows about the cosmic secret that could alter the human future.",2021-11-26,Drama,"['Joanna Valverde', 'Llum Arques', 'José Angel Asensio', 'Rocío Ibáñez', 'Nacho Fernández']",97,Spain,"['TRT', 'Turkish Radio & Television (TRT)', 'La Fabrica Nocturna Cinéma', 'Teferruat Film', 'Jaibo Films', 'Apellaniz & De Sosa']",https://cineb.net/movie/watch-the-sacred-spirit-free-87838
The Disappearance,5.7,"The wife of contract killer disappears. When he is hired by an international organisation to carry out a hit, he suspects they are connected with her disappearance.",1977-11-30,Drama,"['David Warner', 'Donald Sutherland', 'Francine Racette', 'John Hurt', 'Virginia McKenna']",100,Canada,"['National Film Finance Corporation (NFFC)', 'Canadian Film Development Corporation (CFDC)', 'Tiberius Film Productions']",https://cineb.net/movie/watch-the-disappearance-free-87835
The Man for the Job,4.7,,2022-04-29,Drama,"['Uzor Arukwe', 'Ali Baba', 'Akintoba Adeoluwa', 'Benito Bello', 'Lai Junior']",121,Nigeria,['Anthill Studios'],https://cineb.net/movie/watch-the-man-for-the-job-free-87832
The Cathedral,6.2,"An only child's meditative, impressionistic account of an American family's rise and fall over two decades.",2021-09-02,Drama,"['Mark Zeisler', 'Cynthia Mace', ""Brian d'Arcy James"", 'Monica Barbaro', 'Geraldine Singer']",87,United States of America,['Ravenser Odd'],https://cineb.net/movie/watch-the-cathedral-free-87829
The Man for the Job,4.7,,2022-04-29,Drama,"['Uzor Arukwe', 'Ali Baba', 'Akintoba Adeoluwa', 'Benito Bello', 'Lai Junior']",121,Nigeria,['Anthill Studios'],https://cineb.net/movie/watch-the-man-for-the-job-free-87832
The Cathedral,6.2,"An only child's meditative, impressionistic account of an American family's rise and fall over two decades.",2021-09-02,Drama,"['Mark Zeisler', 'Cynthia Mace', ""Brian d'Arcy James"", 'Monica Barbaro', 'Geraldine Singer']",87,United States of America,['Ravenser Odd'],https://cineb.net/movie/watch-the-cathedral-free-87829
Rise of the Machine Girls,5.2,"Living in the lawless Ishinari District in a future Japan, sisters Ami (Hina Nagimiya) and Yoshie (Hanakage Kanon) who sold their bodies to help their parents, try to earn a living performing as an idol group in the area. When their performance causes stranger Matsukata (Tak Sakaguchi) a notorious hitman, to notice their condition, the three realize their worth to each other in the fight against Aoyama Dharma (Kimono Negishi), the female boss of a notorious organ harvesting ring in the area. Realizing that even their skills are no match for her army of goons and henchmen, the two are outfitted with special homemade weaponry to their bodies and become the ultimate killers.",2019-11-22,Action,"['Himena Tsukimiya', 'Tak Sakaguchi', 'Kanon Hanakage', 'Rie Kitahara', 'Kokone Sasaki']",75,Japan,"['New Select', 'Nishimura Motion Picture Model Makers Group', 'Nikkatsu Corporation']",https://cineb.net/movie/watch-rise-of-the-machine-girls-free-87826
Sergei: Unplugged Cinema by Shailendra Singh,6.3,"The world's greatest ballet dancer, Sergei Polunin, as you've never seen him before - searching for answers, and himself. Raw, real, unplugged.",2020-01-01,Drama,"['Sergei Polunin', 'Shailendra Singh']",54,India,['Boss India Entertainment'],https://cineb.net/movie/watch-sergei-unplugged-cinema-by-shailendra-singh-free-87823
Mystery of the Kingdom of God,2.2,"Andrew is chosen by God and is called out of his mischievous childhood to partake in the kingdom of God. Andrew must go through trials, tests, and spiritual warfare, before the mystery of the kingdom of God is finally revealed to him.",2021-03-26,Animation,['Adam Smit'],91,United States of America,['Hidden Things Media Studio'],https://cineb.net/movie/watch-mystery-of-the-kingdom-of-god-free-87820
My Son Hunter,5.7,"Follows the scandal-ridden life of Hunter Biden, son of the 46th President of the United States.",2022-09-07,Crime,"['Laurence Fox', 'John James', 'Kelly Lynn Reiter', 'Gina Carano', 'Franklin Ayodele']",95,Serbia,"['Breitbart', 'The Unreported Story Society']",https://cineb.net/movie/watch-my-son-hunter-free-87817
The Chronicles of Riddick: Into Pitch Black,6.2,"After the events of Pitch Black, a contractor is hired to locate Riddick, dead or alive. He reviews available information on him and the events of Pitch Black. Terrified, he hires a female cyberpunk merc to do the job for him.",2000-01-30,Crime,"['Vin Diesel', 'William Roberts', 'Markus Hamilton', 'Danny Stark', 'Lisa Saum']",60,United States of America,"['Universal Pictures', 'KG Productions']",https://cineb.net/movie/watch-the-chronicles-of-riddick-into-pitch-black-free-87814
Poisoned in Paradise: A Martha's Vineyard Mystery,6.7,"When a waitress seeking Jeff’s help is poisoned, he must uncover the mysterious plot she’d tried to warn him about to solve her murder.",2021-05-16,TV Movie,"['Jesse Metcalfe', 'Sarah Lind', 'Paul Moniz de Sa', 'Sunita Prasad', 'Nelson Wong']",84,Canada,"['Muse Entertainment', 'Hallmark Channel']",https://cineb.net/movie/watch-poisoned-in-paradise-a-marthas-vineyard-mystery-free-87811
Love Toy,4.3,"A degenerate gambler, unable to come up with the cash necessary for a high stakes gin rummy game, bets his nubile daughter. And loses. His daughter immediately becomes the delectable property of a hot-to-trot sex fiend and the film promptly becomes a catalog of perversion, wallowing in domination, humiliation, fetishism, voyeurism, masturbation, lesbianism, spanking, bondage, blowjobs, incest, and more.",1971-04-17,Drama,"['Bernard Marcellin', 'Pat Happel', 'Uta Erickson', 'Larry Hunter']",75,United States of America,['Mostest Productions Inc.'],https://cineb.net/movie/watch-love-toy-free-87808
Lost & Found in Rome,6.1,"Emma is a spoiled rich girl who lives with her father in his luxurious villa in California. She meets a handsome Italian tennis player, Nick, at a charity event. He is off to Europe for a big tennis competition, so Emma decides to follow him overseas without telling anyone. She packs cash in her luggage, but finds out upon arrival in Europe that her luggage is lost. She goes to the ""Lost and Found"" department to report it, and meets Alex.",2021-02-04,TV Movie,"['Sophie Vavasseur', 'Paolo Bernardini', 'Jamie Luner', 'Maxwell Caulfield', 'Manal El-Feitury']",85,France,['Free Dolphin Productions'],https://cineb.net/movie/watch-lost-found-in-rome-free-87805
Let Me Die a Woman,5.3,"A documentary on the work of sex-change specialist Dr. Leo Wollman, including interviews with Dr. Wollman and a few of his patients, with an illustrated lecture on the various aspects of transsexuality plus actual footage of a sex-change operation, which is what gives the film its notoriety",1977-01-01,Documentary,"['Harry Reems', 'Michael Gaunt', 'Arlana Blue', 'Vanessa del Rio', 'Lisa Carmelle']",79,United States of America,['Hygiene Films'],https://cineb.net/movie/watch-let-me-die-a-woman-free-87802
A Beginner's Guide To Grief,7.5,"A dark comedy following 31-year-old Harriet 'Harry' Wylde as she returns to her hometown in remote South Australia to care for two terminally ill parents. When both pass away within weeks of each other, Harriet is forced to face her ultimate fear: absolute aloneness. After reconnecting with her dysfunctional childhood friend Daisy, Harriet discovers that grief doesn't play by any rules and soon, neither will she.",2022-09-04,Drama,"['Cassandra Sorrell', 'Georgina Naidu', 'Rory Walker', 'Brett Goldstein', 'Glynn Nicholas']",73,Australia,"['South Australian Film Corporation', 'Screen Australia', 'Kojo Studios', 'SBS TV']",https://cineb.net/movie/watch-a-beginners-guide-to-grief-free-87799
Knuckle,6.8,An epic 12-year journey into the brutal and secretive world of Irish Traveler bare-knuckle fighting. This film follows a history of violent feuding between rival clans.,2011-12-09,Documentary,"['Paddy Quinn McDonagh', 'Ian Palmer', 'James Quinn McDonagh', 'Michael Quinn McDonagh']",97,Ireland,"['Rise Films', 'BBC Storyville', 'Bórd Scannán na hÉireann']",https://cineb.net/movie/watch-knuckle-free-87796
Keyholes Are for Peeping,4.3,"Sexploitation legend Doris Wishman directs this fun-filled nudie cutie concerning a fake marriage counselor who dispenses sexual advice to his neighbors, and the lecherous maintenance man who keeps a close eye on the steamy sessions through the building's keyholes. After earning his degree through a correspondence course, a man uses his newfound knowledge to help his neighbors reignite the flames of passion. Little does anyone realize that their most intimate moments are all eye candy for the lonely maintenance man who has open access to the entire building.",1972-01-01,Comedy,"['Arlana Blue', 'Richard Towers', 'Tina Russell', 'Sammy Petrillo', 'Phillip Stahl']",70,United States of America,['Juri Productions'],https://cineb.net/movie/watch-keyholes-are-for-peeping-free-87793
Smile Before Death,6.1,"After the death of her mother under strange circumstances, a teenage girl quickly begins to suspect that her recently widowed stepfather may be involved.",1972-05-03,Horror,"['Jenny Tamburi', 'Silvano Tranquilli', 'Rosalba Neri', 'Dana Ghia', 'Luigi Antonio Guerra']",85,Italy,"['Condor International Productions', 'Domiziana Internazionale Cinematografica']",https://cineb.net/movie/watch-smile-before-death-free-87790
Gods of the Plague,6.4,"A man is released from prison and finds the society on the outside less than appealing. With several women as well as the police on his tail, he sets out to find an old friend.",1970-07-24,Drama,"['Lilith Ungerer', 'Carla Egerer', 'Ingrid Caven', 'Harry Baer', 'Margarethe von Trotta']",91,Germany,['Antiteater-X-Film'],https://cineb.net/movie/watch-gods-of-the-plague-free-87787
Gonks Go Beat,4.3,"A swiftly assembled musical fantasy movie made to capitalise on the mid-Sixties, British craze for gonks (a sort of soft, furry toy). Today it is of more interest for featuring music by such artists as Lulu, The Nashville Teens, and The Graham Bond Organisation.",1965-05-24,Music,"['Kenneth Connor', 'Iain Gregory', 'Terry Scott', 'Frank Thornton', 'Derek Thompson']",90,United Kingdom,['Titan Film Productions'],https://cineb.net/movie/watch-gonks-go-beat-free-87784
Diagnosis,6.6,"A journey into the depths of subconscious of a city formed by human beings. The inhabitants of the city undergo the sessions on the couch. Unlocked by questions, e.g. what kind of animal is the city? they begin their journey into the depths of their own feelings and emotions. The city itself is only the starting point and over time, conversations get more and more intimate. The scenes from life, reminiscences and highly emotional moments interlace with the subjectively perceived shots of the city. They are blending together, complementing and interacting with each other. The fears of the film characters, their desires and unfinished affairs become a common fate.",2018-11-17,Documentary,[],78,Poland,['Entertain Pictures'],https://cineb.to/movie/watch-diagnosis-free-87781
Crazy Mama,5.5,"Melba Stokes, her mother Sheba and daughter Cheryl embark on a crime spree after their California beauty parlor is repossessed. Their destination is Arkansas, where the three generations of women want to reclaim the family farm.",1975-06-01,Crime,"['Jim Backus', 'Don Most', 'Linda Purl', 'Bryan Englund', 'Mickey Fox']",83,United States of America,['New World Pictures'],https://cineb.net/movie/watch-crazy-mama-free-87778
Chuck Steel: Night of the Trampires,6.8,"It's not 1985 anymore...it's 1986, and Chuck Steel is 'the best God damn cop on the force' according to his long suffering boss, Captain Jack Schitt. But even this maverick, renegade, loose cannon, lone wolf, cop on the edge, who doesn't play by the rules has his work cut out when the Governor of LA decides to reduce the licensing hours for clubs and bars triggering a sudden, inexplicable spate of high profile disappearances in the city. The disappearances all have the same thing in common, a crime scene covered in blood but with no sign of the victim. The police are perplexed until they get a break in the case when one of the victims manages to escape. Chuck goes to interview the victim at the hospital but is confronted by a crazed old man who introduces himself as Abraham Van Rental. He warns a disbelieving Chuck that an evil scourge is about to descend on the city of Los Angeles - the scourge of the TRAMPIRES - a mutated hybrid of vampire and tramp.",2018-06-12,Comedy,"['Paul Whitehouse', 'Lauren Harris', 'Samantha Coughlan', 'Michael Mort']",89,United Kingdom,['Animortal Studios'],https://cineb.to/movie/watch-chuck-steel-night-of-the-trampires-free-87775
